row ID,row m/z,row retention time,SampleB3.mzML Peak area,SampleB4.mzML Peak area,SampleB5.mzML Peak area,SampleB2.mzML Peak area,SampleB1.mzML Peak area,Blank_reg.mzML Peak area,
243,251.0708046,4.753065988,1.84E+07,2.49E+07,0,2.12E+07,2.85E+07,0,
244,249.0703945,1.607988501,1.25E+07,6596434.007,0,4899315.347,8806448.556,0,
245,329.096817,7.017881268,8654120.196,1.13E+07,0,1.26E+07,1.50E+07,0,
246,329.1206398,4.925260806,1.12E+07,8824926.602,0,1.43E+07,9804670.416,0,
247,127.0513992,7.139599112,9546165.309,1.94E+07,4952045.243,2.21E+07,1.90E+07,0,
248,116.9596642,12.47355814,1.52E+07,5878197.304,1.27E+07,1.17E+07,9255188.673,0,
249,174.056073,1.725511636,8203714.281,1.64E+07,1.75E+07,1.72E+07,1.65E+07,0,
250,540.1810913,1.123948452,6751751.635,5897125.486,0,3825194.625,3508322.999,0,
251,373.0834732,5.244166751,9130836.36,8473634.632,0,9311436.69,1.84E+07,0,
252,167.8367996,3.069067485,3.23E+07,2.43E+07,0,0,0,0,
253,355.135553,4.894373816,1.11E+07,1.18E+07,995669.1517,5349163.784,1294645.629,0,
254,307.0139404,1.112563502,4954436.346,2530908.016,1.68E+08,2942695.912,6602861.87,0,
255,236.0331707,3.786926318,1.59E+07,1.51E+07,0,1.08E+07,5859092.393,0,
256,166.0508728,2.732053626,1.43E+07,1.15E+07,0,1.61E+07,1.05E+07,0,
257,359.1191528,6.926451316,1.25E+07,1.98E+07,1017412.604,1.47E+07,2.32E+07,0,
258,336.0833771,5.604157442,1.53E+07,1.64E+07,552936.5201,2.55E+07,3.23E+07,0,
259,413.0317459,4.639512477,1.04E+07,1.06E+07,0,1.61E+07,3.07E+07,0,
260,174.839592,5.319414167,2.67E+07,0,0,2.45E+07,0,0,
261,141.0169312,6.938741787,1.56E+07,1.72E+07,2680503.07,1.76E+07,2.79E+07,0,
262,366.843634,12.46463621,1.24E+07,3943990.974,7481846.329,1.27E+07,1.03E+07,0,
263,313.1130768,7.132644232,5546914.359,1.96E+07,1201805.43,1.94E+07,8131592.451,0,
264,286.0844299,5.038300696,2.37E+07,2.44E+07,1046961.119,1.93E+07,6.24E+07,0,
265,222.0771942,6.400830822,8077717.485,1.15E+07,0,5863297.722,3399101.282,0,
266,199.170314,1.191965492,5370025.83,4838013.414,1.37E+07,2153546.331,9859175.461,0,
267,401.1117554,5.752201542,1.54E+07,1.77E+07,165383.7655,1.50E+07,1.50E+07,0,
268,172.8424644,5.332459442,2.49E+07,0,0,2.24E+07,0,0,
269,771.2509257,12.11077398,7707100.14,8315404.081,9571976.998,9688481.724,1.18E+07,7.63E+07,
270,230.8012848,6.538213223,2.25E+07,2.30E+07,0,1.19E+07,1484009.769,0,
271,336.9139954,6.659392913,3306649.182,2895248.526,3210282.012,3847221.534,2285678.758,0,
272,388.115506,5.169288369,1.28E+07,1.46E+07,756215.5601,1.33E+07,2.85E+07,0,
273,740.3245544,1.255659899,2414855.124,0,0,3362949.523,7934884.992,0,
274,815.2107849,4.970541794,1.68E+07,3760908.118,0,0,9.49E+07,0,
275,169.8340607,4.391528804,5.25E+07,5.02E+07,2.73E+07,0,0,0,
276,216.1030521,1.113152113,5282896.834,4496587.461,0,3931435.263,4010990.424,0,
277,390.0225143,5.554587605,4795974.085,8444469.652,152429.3758,1953664.55,0,0,
278,284.0786133,1.110983976,4640113.212,4315349.262,0,3799458.071,3771713.806,0,
279,350.0654175,2.075393569,1.68E+07,1.59E+07,8319356.449,2.06E+07,2.49E+07,0,
280,234.8022995,6.536054139,1.75E+07,1.19E+07,0,9847857.2,1132616.1,0,
281,167.8367691,2.400598952,3.11E+07,2.91E+07,0,0,0,0,
282,540.1499329,1.758874435,1.15E+07,1.64E+07,0,1.54E+07,1.26E+07,0,
283,229.1444855,1.181596658,4309500.397,4168326.649,8459864.713,2137486.725,1.01E+07,0,
284,432.8155792,12.45397947,1.10E+07,3501119.821,6276255.497,1.24E+07,1.12E+07,0,
285,252.0281582,3.533933038,1.56E+07,9622090.667,0,6194824.034,5588727.936,0,
286,118.0411995,2.912325629,1.02E+07,9692814.584,654097.5844,8305763.342,6332586.013,0,
287,365.0729637,7.007000643,7126005.619,8919973.486,0,1.67E+07,2.00E+07,0,
